conference_acronym	conference_name	conference_location
ICAPM - Scopus, EI 2018	2018 8th International Conference on Applied Physics and Mathematics (ICAPM 2018)--Scopus, EI Compendex and ISI	Phuket Island, Thailand
ICMSCE--Ei, Scopus 2018	2018 2nd International Conference on Mechatronics Systems and Control Engineering (ICMSCE 2018)--ACM, Ei Compendex, Scopus	Amsterdam, Netherland
ICMM--Ei & Scopus 2018	2018 9th International Conference on Mechatronics and Manufacturing (ICMM 2018)--Ei Compendex and Scopus	Phuket Island, Thailand
AAAI-ATSE 2018	AAAI-18 Workshop on artificial intelligence applied to assistive technologies and smart environments	New Orleans, Louisiana, USA
ACM--ICRIS--Ei 2018	2018 International Conference on Robotics and Intelligent System (ICRIS 2018)--ACM, Ei Compendex, Scopus	Amsterdam, Netherland
IEEE--ICCSSE--Ei & Scopus 2018	2018 The 4th International Conference on Control Science and Systems Engineering (ICCSSE 2018)--IEEE, Ei & Scopus	Wuhan, China
ICMLSC - ACM - Ei 2018	ACM--2018 the 2nd International Conference on Machine Learning and Soft Computing (ICMLSC 2018)--Ei Compendex & Scopus	Phuoc Island, Vietnam
ICSRT 2018--ACM, Ei Compendex 2018	2018 International Conference on Service Robotics Technologies (ICSRT 2018)--ACM, Ei Compendex	Chengdu, China
ICOAR--Scopus 2018	2018 2nd International Conference on Automation and Robotics (ICOAR 2018)--Scopus	Maldives
ICACR--Ei and Scopus 2017	2017 International Conference on Automation, Control and Robotics (ICACR 2017)--Ei Compendex and Scopus	Wuhan, China
BioS 2017	3rd International Conference on Bioinformatics & Biosciences	Chennai, India
CSTY 2017	3rd International Conference on Computer Science and Information Technology (CSTY-2017)	Chennai, India
ICSS 2017	3rd International Conference on Software Security	Sydney, Australia
AI 2017	3rd International Conference on Artificial Intelligence and Applications	Chennai, India
NATP 2017	3rd International Conference on Natural Language Processing	Dubai, UAE
SIGI 2017	3rd International Conference on Signal and Image Processing	Chennai, India
ICRAI 2017	2017 International Conference on Robotics and Artificial Intelligence-ACM	Shanghai, China
ICICC - Ei 2018	2018 International Conference on Intelligent Control and Computing (ICICC 2018)--Ei Compendex & Scopus	Manila, Philippines
MACE - Ei 2018	The Second International Conference on Mechanical Automation and Control Engineering(MACE 2018)--Ei Compendex & Scopus	Manila, Philippines
ICLR 2018	6th International Conference on Learning Representations	Vancouver, Canada
IJMA 2017	International Journal of Multimedia & Its Applications -- ERA Indexed	N/A
AEROIJ 2017	Aerospace Engineering: An International Journal	N/A
AIAP 2018	5th International Conference on Artificial Intelligence and Applications	Zurich, Switzerland
CSEIJ 2017	Computer Science & Engineering: An International Journal	N/A
ESIJ 2017	Earth Sciences: an International Journal	N/A
ELELIJ 2017	Electrical and Electronics Engineering: An International Journal	N/A
MECHATROJ 2017	Mechatronics and Applications: An International Journal	N/A
IJAIA 2017	International Journal of Artificial Intelligence & Applications	N/A
IJCI 2017	International Journal on Cybernetics & Informatics	N/A
MEIJ 2017	Mechanical Engineering: An International Journal	N/A
JSE 2018	7th International Conference on Software Engineering and Applications	Dubai,UAE
IJFLS 2017	International Journal of Fuzzy Logic Systems	N/A
PBIJ 2017	Pharmaceutical and Biomedical sciences: An International Journal	N/A
ITCS 2018	7th International Conference on Information Technology Convergence and Services	Dubai, UAE
CCSEIT 2018	8th International Conference on Computer Science, Engineering and Information Technology	Zurich, Switzerland
CAIJ 2017	Computer Applications: An International Journal	N/A
ECDMO - Ei & Scopus 2018	2018 2nd European Conference on Design, Modeling and Optimization (ECDMO 2018)--EI Compendex, Scopus	Krakow, Poland
ICBBB - Ei 2018	2018 8th International Conference on Bioscience, Biochemistry and Bioinformatics (ICBBB 2018)--Ei Compendex, Scopus and ISI	Tokyo, Japan
ICRAE 2017	2017 2nd International Conference on Robotics and Automation Engineering (ICRAE 2017)--IEEE Xplore and Ei Compendex	Shanghai, China
ICMRE - Ei & Scopus 2018	2018 4th International Conference on Mechatronics and Robotics Engineering (ICMRE 2018)--Ei Compendex & Scopus	Valenciennes, France
ICCTD--EI, Scopus 2018	2018 9th International Conference on Computer Technologies and Development (ICCTD 2018)--EI Compendex, Scopus	Istanbul, Turkey
Ei - ICSCA - ACM 2018	ACM--2018 7th International Conference on Software and Computer Applications (ICSCA 2018)--Ei Compendex, Scopus and ISI	Kuantan, Malaysia
ICVIP - Ei 2017	2017 International Conference on Video and Image Processing (ICVIP 2017)--Ei and Scopus	Singapore
Special issue on AI 2017	Informatica special anniversary issue on artificial intelligence	N/A
DSCI 2018	Special Session on Data Science and Computational Intelligence (at The 10th Asian Conference on Intelligent Information and Database Systems)	Dong Hoi City, Vietnam
IJGTT 2017	International Journal of Game Theory and Technology	N/A
MSEJ 2017	Advances in Materials Science and Engineering: An International Journal	N/A
EI-CCEAI 2018	EI/SCOPUS-2018 2nd International Conference on Control Engineering and Artificial Intelligence (CCEAI 2018)	Boracay, Philipines
BigData4SmartEnergy 2018	The First International Workshop on Big Data Analysis for Smart Energy	Shanghai, China
ICBCB 2018--Ei, Scopus 2018	2018 6th International Conference on Bioinformatics and Computational Biology (ICBCB 2018)--Ei Compendex, Scopus and ISI	Chengdu, China
ACM--ICCAI 2018--Ei, Scopus 2018	ACM--2018 International Conference on Computing and Artificial Intelligence (ICCAI 2018)--Ei Compendex and Scopus	Chengdu, China
ICMCR - Ei & Scopus 2018	2018 International Conference on Mechatronics, Control and Robotics (ICMCR 2018)--EI Compendex, Scopus	Ho Chi Minh, Vietnam
AI4Health 2018	International Workshop on Artificial Intelligence for Health	Funchal, Madeira (Portugal)
IEEE--ICICT--Ei, Scopus 2018	2018 International Conference on Information and Computer Technologies (ICICT 2018)--Ei & Scopus	DeKalb,IL,USA
MPREF 2018	11th Multidisciplinary Workshop on Advances in Preference Handling (M-PREF)	New Orleans, Louisiana, USA
ICMLC - Ei 2018	2018 10th International Conference on Machine Learning and Computing (ICMLC 2018)--ACM, Ei Compendex and Scopus	Macau, China
ICAMS 2018	2018 5th International Conference on Advances and Management Sciences (ICAMS 2018)	Torino, Italy
Ei - ICBCT 2018	2018 2nd International Conference on Bioinformatics and Computing Technologies (ICBCT 2018)--Ei Compendex	Hanoi, Vietnam
ACM--ICGDA--Ei, Scopus 2018	ACM--2018 the International Conference on Geoinformatics and Data Analysis (ICGDA 2018)--Ei, ISI and Scopus	Prague, Czech Republic
ICIIT - Ei & Scopus 2018	2018 International Conference on Intelligent Information Technology (ICIIT 2018)--Ei Compendex, Scopus and ISI	Hanoi, Vietnam
Ei - ICCAE 2018	2018 10th International Conference on Computer and Automation Engineering (ICCAE 2018)--Ei Compendex and Scopus	Brisbane, Australia
KBCOM 2018	1st Workshop on Knowledge Base Construction, Reasoning and Mining (KBCOM) 2018	Los Angeles, California
AAMAS 2018	International Conference on Autonomous Agents and Multiagent Systems (AAMAS-18)	Stockholm
ICCRI--EI, Scopus 2018	2018 International Conference on Control, Robotics and Informatics (ICCRI 2018)--EI Compendex, Scopus	Kuala Lumpur, Malaysia
ICPRAI 2018	International Conference on Pattern Recognition and Artificial Intelligence	Montreal, Quebec
ICIAS--Ei 2018	2018 IEEE International Conference on Intelligent Autonomous Systems (ICIAS 2018)--Ei Compendex and Scopus	Singapore
CVPR 2018	Computer Vision and Pattern Recognition	SALT LAKE CITY, UTAH
ICIIC--IEEE Xplore, Ei 2018	2018 International Conference on Integrated Intelligent Computing (ICIIC 2018)--IEEE Xplore, Ei Compendex and Scopus	Singapore
Transhumanism 2017	Organic Machines/Engineered Humans: (Re)Defining Humanity	N/A
ACM--ICSSE--Ei, Scopus 2018	ACM--2018 the International Conference on Software and Services Engineering(ICSSE 2018)--Ei, ISI and Scopus	Prague, Czech Republic
ICCMS - Ei & Scopus 2018	ACM--The 10th International Conference on Computer Modeling and Simulation (ICCMS 2018)	Sydney, Australia
ACM - ICIAI 2018	ACM--2018 2nd International Conference on Innovation in Artificial Intelligence (ICIAI 2018)--Ei Compendex, Scopus, and ISI	Shanghai, China
ICICA 2018	The 7th International Conference on Intelligent Computing and Applications (ICICA 2018)	Sydney, Australia
ICAISC 2018	International Conference on Artificial Intelligence and Soft Computing	Zakopane, POLAND
