conference_acronym	conference_name	conference_location
ICAPM 2018	2018 8th International Conference on Applied Physics and Mathematics (ICAPM 2018)--Scopus, EI Compendex and ISI	Phuket, Thailand
ICMSCE 2018	2018 2nd International Conference on Mechatronics Systems and Control Engineering (ICMSCE 2018)--ACM, Ei Compendex, Scopus	Amsterdam, Netherlands
ICMM 2018	2018 9th International Conference on Mechatronics and Manufacturing (ICMM 2018)--Ei Compendex and Scopus	Phuket, Thailand
AAAI-ATSE 2018	AAAI-18 Workshop on artificial intelligence applied to assistive technologies and smart environments	New Orleans, Louisiana, USA
ACM--ICRIS 2018	2018 International Conference on Robotics and Intelligent System (ICRIS 2018)--ACM, Ei Compendex, Scopus	Amsterdam, Netherlands
IEEE--ICCSSE 2018	2018 The 4th International Conference on Control Science and Systems Engineering (ICCSSE 2018)--IEEE, Ei & Scopus	Wuhan, China
ICMLSC 2018	ACM--2018 the 2nd International Conference on Machine Learning and Soft Computing (ICMLSC 2018)--Ei Compendex & Scopus	Phuoc Island, Vietnam
ICSRT 2018	2018 International Conference on Service Robotics Technologies (ICSRT 2018)--ACM, Ei Compendex	Chengdu, China
ICOAR 2018	2018 2nd International Conference on Automation and Robotics (ICOAR 2018)--Scopus	Maldives
ICACR 2017	2017 International Conference on Automation, Control and Robotics (ICACR 2017)--Ei Compendex and Scopus	Wuhan, China
BioS 2017	3rd International Conference on Bioinformatics & Biosciences	Chennai, India
CSTY 2017	3rd International Conference on Computer Science and Information Technology (CSTY-2017)	Chennai, India
ICSS 2017	3rd International Conference on Software Security	Sydney, Australia
AI 2017	3rd International Conference on Artificial Intelligence and Applications	Chennai, India
NATP 2017	3rd International Conference on Natural Language Processing	Dubai, UAE
SIGI 2017	3rd International Conference on Signal and Image Processing	Chennai, India
ICRAI 2017	2017 International Conference on Robotics and Artificial Intelligence-ACM	Shanghai, China
ICICC 2018	2018 International Conference on Intelligent Control and Computing (ICICC 2018)--Ei Compendex & Scopus	Manila, Philippines
MACE 2018	The Second International Conference on Mechanical Automation and Control Engineering(MACE 2018)--Ei Compendex & Scopus	Manila, Philippines
ICLR 2018	6th International Conference on Learning Representations	Vancouver, Canada
AIAP 2018	5th International Conference on Artificial Intelligence and Applications	Zurich, Switzerland
JSE 2018	7th International Conference on Software Engineering and Applications	Dubai, UAE
ITCS 2018	7th International Conference on Information Technology Convergence and Services	Dubai, UAE
CCSEIT 2018	8th International Conference on Computer Science, Engineering and Information Technology	Zurich, Switzerland
ECDMO 2018	2018 2nd European Conference on Design, Modeling and Optimization (ECDMO 2018)--EI Compendex, Scopus	Krakow, Poland
ICBBB 2018	2018 8th International Conference on Bioscience, Biochemistry and Bioinformatics (ICBBB 2018)--Ei Compendex, Scopus and ISI	Tokyo, Japan
ICRAE 2017	2017 2nd International Conference on Robotics and Automation Engineering (ICRAE 2017)--IEEE Xplore and Ei Compendex	Shanghai, China
ICMRE 2018	2018 4th International Conference on Mechatronics and Robotics Engineering (ICMRE 2018)--Ei Compendex & Scopus	Valenciennes, France
ICCTD 2018	2018 9th International Conference on Computer Technologies and Development (ICCTD 2018)--EI Compendex, Scopus	Istanbul, Turkey
ICSCA-ACM 2018	ACM--2018 7th International Conference on Software and Computer Applications (ICSCA 2018)--Ei Compendex, Scopus and ISI	Kuantan, Malaysia
ICVIP 2017	2017 International Conference on Video and Image Processing (ICVIP 2017)--Ei and Scopus	Singapore
DSCI 2018	Special Session on Data Science and Computational Intelligence (at The 10th Asian Conference on Intelligent Information and Database Systems)	Dong Hoi City, Vietnam
EI-CCEAI 2018	EI/SCOPUS-2018 2nd International Conference on Control Engineering and Artificial Intelligence (CCEAI 2018)	Boracay, Philipines
BigData4SmartEnergy 2018	The First International Workshop on Big Data Analysis for Smart Energy	Shanghai, China
