conference_acronym	conference_name	conference_location
BDIOT - Ei 2017	ACM - 2017 International Conference on Big Data and Internet of Things (BDIOT2017)--Ei Compendex, Scopus and ISI	London, UK
AI 2017	3rd International Conference on Artificial Intelligence and Applications	Chennai, India
ARIA 2018	5th International Conference on Artificial Intelligence & Applications	Dubai, UAE
DMS 2018	9th International Conference on Database Management Systems	Dubai, UAE
IJCI 2017	International Journal on Cybernetics & Informatics	N/A
IJDKP 2017	International Journal of Data Mining & Knowledge Management Process	N/A
CNSA 2018	11th International Conference on Security and its Applications	Zurich,Switzerland
IJBES 2017	International Journal of Biomedical Engineering and Science	N/A
MEIJ 2017	Mechanical Engineering: An International Journal	N/A
IJDMS 2017	International Journal of Database Management Systems	N/A
IJMA 2017	International Journal of Multimedia & Its Applications -- ERA Indexed	N/A
ESIJ 2017	Earth Sciences: an International Journal	N/A
AVC 2017	Advances in Vision Computing: An International Journal	N/A
BDAS 2018	14th (IFIP and IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures during IFIP World Computer Congres (IFIP WCC)	Poznan, Poland
ICBDM - Ei 2018	2018 International Conference on Big Data Management (ICBDM 2018)--ACM, Ei Compendex and Scopus	Macau, China
Ei - ICBDSC 2018	2018 International Conference on Big Data and Smart Computing (ICBDSC 2018)--Ei Compendex, Scopus	Casablanca, Morocco
COMOREA 2018	14th Workshop on Context and Activity Modeling and Recognition	Athens
FoIKS 2018	10th International Symposium on Foundations of Information and Knowledge Systems	Budapest, Hungary
ICDPA--ACM, Scopus, Ei Compendex 2018	ACM--2018 International Conference on Data Processing and Applications (ICDPA 2018)--Scopus, Ei Compendex	Guangzhou, China
ICBDT--EI, Scopus 2018	2018 International Conference on Big Data Technologies (ICBDT 2018)--EI Compendex and Scopus	Hangzhou, China
DMAP 2017	3rd International Conference on Data Mining and Applications	Dubai, UAE
EDBT 2018	21st International Conference on Extending Database Technology	Vienna, Austria
ACM - ICBDR 2017	ACM--2017 International Conference on Big Data Research (ICBDR 2017) -- Ei Compendex & Scopus	Osaka, Japan
IEEE Big Data 2017	2017 IEEE International Conference on Big Data	Boston, MA, USA
ICCBDC 2017	International Conference on Cloud and Big Data Computing (ICCBDC 2017)	London, UK
DILS 2017	12th International Conference on Data Integration in Life Science	Luxembourg
ICDM 2017	IEEE International Conference on Data Mining 2017	NEW ORLEANS, USA
SBBD 2017	32nd Brazilian Symposium on Databases	Uberlandia, MG - Brazil
CIKM 2017	The 26th 2017 ACM Conference on Information and Knowledge Management	SINGAPORE
WISE 2017	WISE 2017: The 18th International Conference on Web Information Systems Engineering	Moscow, Russia
FDM 2017	Digital processes and information systems in research data management	Chemnitz
DTMN 2017	3rd International Conference on Data Mining	Dubai, UAE
DMDB 2017	4th International Conference on Data Mining and Database	Vienna, Austria
TIME 2017	24th International Symposium on Temporal Representation and Reasoning	Mons, Belgium
ADBIS 2017	21st European Conference on Advances in Databases and Information Systems	Nicosia, Cyprus
IDEAS 2017	21st International Database Engineering & Applications Symposium	Bristol
ADBIS 2017	21st European Conference on Advances in Databases and Information Systems	Hilton Hotel Cyprus, Nicosia
DEBS 2017	11th ACM International Conference on Distributed and Event‐based Systems	Barcelona, Spain, Europe
GeoRich 2017	GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5	TBD
GeoRich 2017	GeoRich 2017 : GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5 - CORRECT DATES	TBD
DATA 2017	6th International Conference on Data Science, Technology and Applications	Madrid, Spain
WebDB 2017	International Workshop on the Web and Databases	Chicago, IL, USA
GeoRich @ ACM SIGMOD/PODS 2017	GeoRich 2017 - ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data	Raleigh, NC, USA
DMS 2017	Eighth International Conference on Database Management Systems	Sydney, Australia
Computational Intelligence in RDF 2017	Call for Book Chapters: Computational Intelligence in RDF Data Management (being published by Springer-Verlag)	N/A
DCIRS - 2017	The Second International Workshop on Database and Computerized Information Retrieval Systems	Trieste, Italy
SBD 2017	Semantic Big Data	Raleigh, USA
ADBIS - Workshops 2017	21st European Conference on Advances in Databases and Information Systems (ADBIS 2017) Workshops	Nicosia, Cyprus
AIFU 2017	Third International Conference on Artificial Intelligence and Applications	Dubai , UAE
ACTIVE 2017	First International Workshop on Data Management on Virtualized Active Systems (In Conjunction with the IEEE ICDE 2017)	San Diego, CA
BDAS 2017	13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
DASFAA 2017	The 22nd International Conference on Database Systems for Advanced Applications	Suzhou
ICDE 2017	IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017	San Diego
BTW 2017	The 17th Conference on Database Systems for Business, Technology, and Web	Stuttgart, Germany
ISDSA 2016	First International Symposium on Data Science and Applications	Milan, Italy
SIGMOD 2017	2017 ACM SIGMOD Conference	Raleigh
CITI 2016	2nd International Conference on Technologies and Innovation	Guayaquil, Ecuador
BDTA 2016	7th EAI International Conference on Big Data Technologies and Applications	Seoul, South Korea
RuleML Challenge 2016	10th International Rule Challenge 2016	Stony Brook University, New York, USA
QDB 2016	VLDB Workshop on Quality in Databases	New Delhi, India
PQ 2016	Process Querying 2016	Rio de Janeiro, Brazil
SoCC 2016	ACM Symposium on Cloud Computing (SoCC) 2016	Santa Clara, California, USA
SISAP 2016	9th International Conference on Similarity Search and Applications	Tokyo, Japan
APWeb 2016	Asia-Pacific Web Conference	Suzhou
CN4IoT 2016	2nd EAI International Conference on Cloud, Networking for IoT systems	Brindisi
GvDB 2016	27.GI-Workshop - Grundlagen von Datenbanken	Nörten-Hardenberg, Germany
ER 2016	Call for Papers: ER 2016 - The 35th International Conference on Conceptual Modeling	Gifu (Japan)
VLDB 2016	42nd international conference on very large data bases	New Delhi
Baltic DB&IS, DC 2016	Doctoral Consortium, 12th International Baltic Conference on Databases and Information Systems 2016	Riga, Latvia
BDAS 2016	12th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
BDQM 2016	The 1st International Workshop on Big Data Quality Management	Dallas, TX
TRANSACT 2016	11th ACM SIGPLAN Workshop on Transactional Computing	Barcelona, Spain
ICDE 2016	International Conference on Data Engineering	Helsinki, Finland
